Solar,Wind
0.390905115,0.124570265
0.391375229,0.126964026
0.342511494,0.125222412
0.249495181,0.117722806
0.131802755,0.138372241
0.029600251,0.173007297
3.44199E-05,0.195518948
0,0.195242988
0,0.18693233
0,0.177823134
0,0.16839233
0,0.16199943
0,0.158724905
0,0.152423766
0,0.145078302
0,0.134792271
0,0.129295603
0,0.12369153
0,0.127219504
0.000412559,0.128981403
0.022481867,0.115339523
0.124891358,0.093202939
0.254214432,0.079908655
0.351800654,0.073772888
0.400691271,0.07279767
0.403733847,0.071637514
0.353316469,0.070041516
0.259942099,0.070637208
0.137821578,0.086171948
0.031623838,0.10090535
5.0197E-05,0.109292761
0,0.115874469
0,0.121198571
0,0.124686878
0,0.126085318
0,0.124675123
0,0.121945878
0,0.117127255
0,0.112588243
0,0.109932794
0,0.108629609
0,0.10857694
0,0.105564214
0.000519915,0.107799379
0.023000654,0.105095871
0.116124021,0.074654317
0.235917968,0.054905851
0.330953216,0.057465274
0.376591245,0.064843531
0.381320902,0.067031673
0.318237397,0.067200157
0.223261471,0.06884682
0.1202358,0.088778388
0.028963204,0.121285886
6.59684E-05,0.138960655
0,0.155184435
0,0.172790814
0,0.187264684
0,0.193194121
0,0.198956487
0,0.20260105
0,0.208351647
0,0.216047528
0,0.230974938
0,0.243657848
0,0.244864303
0,0.254020272
0.000530063,0.266137176
0.024575658,0.265456476
0.121612912,0.231721601
0.230536254,0.210495255
0.311580452,0.20034212
0.339913034,0.201608399
0.329875751,0.201663087
0.286004732,0.202885991
0.197085251,0.19773157
0.09886688,0.213007966
0.023969049,0.227517033
9.15748E-05,0.258104961
0,0.278059181
0,0.282361717
0,0.281421748
0,0.272778321
0,0.257175731
0,0.236100259
0,0.215230196
0,0.196212174
0,0.182637396
0,0.170982271
0,0.155983007
0,0.148779099
0.00055747,0.140415679
0.023501589,0.128221677
0.122119283,0.098389857
0.245365679,0.075427604
0.339508671,0.065076878
0.385836301,0.064573455
0.379809389,0.066668276
0.34058299,0.068535036
0.250231675,0.07317041
0.133757538,0.085621361
0.032906021,0.082597574
0.000118476,0.086121155
0,0.08686232
0,0.088369286
0,0.093315316
0,0.095648656
0,0.102444618
0,0.109097808
0,0.117336329
0,0.126704779
0,0.138939308
0,0.151380645
0,0.150556656
0,0.152482465
0.000591024,0.154233975
0.025024993,0.142142166
0.131896163,0.120629449
0.263786915,0.102989479
0.366922385,0.106510415
0.415001454,0.126044996
0.414323981,0.144161665
0.359509332,0.161552227
0.258055647,0.172885314
0.141881617,0.195944133
0.036416935,0.18669962
0.000163912,0.211039267
0,0.224528134
0,0.234850993
0,0.241379379
0,0.240220827
0,0.234700351
0,0.230562627
0,0.221539337
0,0.213077661
0,0.208640112
0,0.204365136
0,0.192510154
0,0.18706642
0.000616604,0.186179467
0.027056053,0.183279058
0.142057593,0.147328128
0.280275723,0.122551096
0.384069094,0.102757617
0.432666302,0.102674736
0.434920347,0.099426305
0.386065629,0.097859293
0.288035155,0.101979282
0.158818102,0.118830766
0.041518967,0.14305185
0.000212914,0.174594719
0,0.194767714
0,0.205121391
0,0.219874167
0,0.231822428
0,0.241595262
0,0.245421159
0,0.246019406
0,0.238565186
0,0.239718302
0,0.237270349
0,0.239348474
0,0.236613563
0.000658188,0.237137037
0.028417365,0.238080883
0.140112728,0.197124003
0.269868555,0.136442829
0.366864879,0.11610145
0.413612315,0.101374012
0.411541127,0.090893313
0.355306097,0.084628549
0.257590899,0.084080106
0.136918649,0.092485715
0.033948181,0.113818386
0.000200521,0.122027795
0,0.124779337
0,0.126248463
0,0.121611404
0,0.117504378
0,0.109945498
0,0.112029036
0,0.108749446
0,0.110048787
0,0.109519242
0,0.108054741
0,0.108549707
0,0.107649581
0.000693021,0.111603112
0.024466168,0.104184665
0.102520694,0.072283136
0.194943429,0.058789956
0.279543152,0.059935221
0.32970103,0.065958361
0.339145103,0.067296427
0.280709039,0.067661437
0.214384725,0.063427386
0.119723011,0.076921995
0.033855387,0.08081051
0.000316592,0.094252087
0,0.103688393
0,0.112791361
0,0.117431305
0,0.123221518
0,0.127535242
0,0.137414639
0,0.144663123
0,0.149554798
0,0.154962231
0,0.160798232
0,0.162837249
0,0.168782399
0.000736076,0.170979156
0.027492259,0.16592493
0.132076364,0.132410052
0.260824834,0.099019053
0.359900379,0.100405336
0.41091643,0.107971225
0.414121738,0.115233131
0.36851747,0.117575258
0.275252259,0.11931703
0.156234394,0.128000856
0.044436369,0.100247087
0.000408272,0.105650752
0,0.11214287
0,0.119635367
0,0.129260006
0,0.134890502
0,0.138539995
0,0.139109307
0,0.131942553
0,0.126352275
0,0.12254237
0,0.121538232
0,0.132941221
0,0.137317434
0.000724366,0.146253879
0.029249959,0.151261884
0.145213132,0.117265897
0.281652355,0.08895059
0.382977816,0.09106857
0.429531884,0.111004711
0.431989592,0.128198792
0.38247049,0.140731945
0.287735848,0.147553017
0.162667045,0.156040429
0.046495372,0.180469099
0.000474297,0.224823304
0,0.268952904
0,0.317128124
0,0.362045453
0,0.398080914
0,0.428135254
0,0.458868465
0,0.481369795
0,0.495731332
0,0.513189724
0,0.528546058
0,0.515701563
0,0.533945703
0.00073472,0.555550699
0.023652099,0.566816283
0.122974319,0.540597812
0.25549177,0.566014685
0.363839816,0.624227445
0.418692108,0.664789085
0.422874199,0.684212564
0.378614719,0.685441787
0.293792563,0.66640232
0.174286661,0.625064628
0.051715191,0.510626573
0.000654011,0.518601147
0,0.544149615
0,0.573244114
0,0.59129377
0,0.602344794
0,0.607023199
0,0.603653716
0,0.594091645
0,0.584055685
0,0.57685946
0,0.569508342
0,0.548631153
0,0.551200301
0.000823187,0.545316446
0.02922693,0.519036114
0.146022483,0.452686496
0.283073148,0.415506673
0.386520379,0.419091994
0.43516919,0.412641594
0.437531643,0.398486662
0.389687326,0.390821079
0.29397053,0.360882138
0.169167366,0.317732903
0.050507076,0.260889287
0.000749831,0.269018816
0,0.277546438
0,0.297067267
0,0.317428206
0,0.333622603
0,0.341263028
0,0.347899835
0,0.348672259
0,0.350300033
0,0.35355006
0,0.358374623
0,0.342108888
0,0.354254755
0.000891837,0.370084334
0.032616352,0.368852113
0.15464363,0.32759547
0.294989657,0.27755387
0.39806389,0.274707953
0.44573514,0.299112728
0.448995515,0.309874975
0.400546093,0.305453568
0.30447738,0.29098353
0.17578199,0.297369211
0.053990411,0.347899708
0.00093198,0.394795373
0,0.428391745
0,0.451562971
0,0.461194045
0,0.464927678
0,0.465555909
0,0.463081594
0,0.459175412
0,0.451175903
0,0.440673539
0,0.426950063
0,0.40500227
0,0.383037265
0.000909215,0.365810575
0.032436232,0.344728673
0.153768193,0.287954665
0.291845419,0.249811319
0.393987617,0.249056245
0.440783289,0.250212358
0.443436971,0.24430164
0.389370595,0.228464573
0.294528382,0.194514477
0.16630863,0.183316158
0.050549448,0.170156805
0.001012626,0.16626745
0,0.169925749
0,0.175201038
0,0.187157774
0,0.198112208
0,0.203689074
0,0.207614584
0,0.202800211
0,0.197491686
0,0.197670005
0,0.19784653
0,0.2006757
0,0.197799519
0.00098152,0.207854409
0.033799861,0.214692846
0.156134074,0.186676407
0.295728318,0.143991738
0.3980255,0.159184437
0.444971801,0.190261593
0.447389725,0.217146386
