Solar,Wind
0,0.012376252
0,0.010946651
0,0.009507765
0,0.009275726
0,0.009877431
0,0.010781198
0,0.010618962
0,0.011655952
0.006690773,0.012604793
0.086948336,0.012139308
0.215188912,0.009314111
0.3169598,0.007140513
0.382142733,0.007215062
0.396789988,0.009426501
0.367498997,0.011368094
0.293951421,0.013078224
0.183313973,0.016918108
0.063169318,0.026196619
0.004206008,0.047584872
0,0.067412137
0,0.078913569
0,0.084679748
0,0.100792265
0,0.127434549
0,0.15215679
0,0.162601185
0,0.16539934
0,0.156398868
0,0.147918688
0,0.137912259
0,0.13310286
0,0.128683156
0.007288397,0.127783226
0.085844112,0.125284582
0.208149054,0.10875275
0.307987278,0.093757894
0.378372799,0.088074142
0.391319622,0.080120003
0.360588146,0.074597145
0.285952218,0.073207438
0.171744126,0.075288616
0.054358439,0.086025478
0.003956389,0.089154626
0,0.089089807
0,0.087139963
0,0.082083415
0,0.080034835
0,0.080468413
0,0.077116344
0,0.071305817
0,0.064347193
0,0.056563121
0,0.058004605
0,0.055061354
0,0.054172261
0,0.058651904
0.006527892,0.061633531
0.083128308,0.062647771
0.202514829,0.052639571
0.297205662,0.047478659
0.357622822,0.053133009
0.364059823,0.055681736
0.322933544,0.062316863
0.254861157,0.065009352
0.155675544,0.058192195
0.051144676,0.057851675
0.003484326,0.055771451
0,0.059386426
0,0.059860669
0,0.065266906
0,0.074018645
0,0.083124692
0,0.080806886
0,0.079745421
0,0.088732376
0,0.100547801
0,0.109238768
0,0.105487993
0,0.109904229
0,0.110984639
0.005552196,0.106258224
0.065570914,0.090677393
0.164534612,0.056915908
0.246346671,0.040612033
0.301469612,0.035710835
0.308804432,0.031613501
0.283941143,0.027151255
0.225256921,0.020255296
0.145627983,0.019289995
0.054508592,0.020017258
0.00473038,0.023019029
0,0.02241867
0,0.018945438
0,0.015233953
0,0.012077133
0,0.008949954
0,0.007919942
0,0.009067188
0,0.010527563
0,0.011788816
0,0.016850972
0,0.022221515
0,0.026454239
0,0.026225452
0.006120167,0.02610309
0.079100332,0.023417206
0.199949398,0.01507403
0.299024296,0.011768177
0.366003573,0.014580922
0.387470127,0.018310826
0.360405874,0.020684608
0.295865486,0.021839337
